-80 -15 NaN NaN NaN -4.57529
-79.8 -15 NaN NaN NaN -4.55497
-79.6 -15 NaN NaN NaN -4.60336
-79.4 -15 NaN NaN NaN -4.55657
-79.2 -15 NaN NaN NaN -4.45551
-79 -15 -6.31376 -6.31376 -6.31376 -4.37288
-78.8 -15 -6.28772 -6.28772 -6.28772 -4.30406
-78.6 -15 -6.26228 -6.26228 -6.26228 -4.1522
-78.4 -15 -6.08505 -6.08505 -6.08505 -4.06547
-78.2 -15 -5.84523 -5.84523 -5.84523 -4.15688
-78 -15 -5.69545 -5.69545 -5.69545 -4.0098
-77.8 -15 -5.66042 -5.66042 -5.66042 -4.10658
-77.6 -15 -5.69886 -5.69886 -5.69886 -3.9915
-77.4 -15 -5.73561 -5.73561 -5.73561 -3.68957
-77.2 -15 -5.48772 -5.48772 -5.48771 -3.84774
-77 -15 -5.28253 -5.28253 -5.28252 -3.67413
-76.8 -15 -5.03929 -5.03929 -5.03926 -4.00195
-76.6 -15 -4.80761 -4.80761 -4.80912 -4.65976
-76.4 -15 -6.3829 -6.3829 -6.2201 -3.95634
-76.2 -15 -8.90134 -8.90134 -7.85183 -2.2404
-76 -15 -12.0543 -12.0543 -7.58543 -1.09287
-75.8 -15 -17.6357 -17.6357 -4.87891 -0.202387
-75.6 -15 -24.6173 -24.6173 -5.25644 -0.103484
-75.4 -15 -32.8113 -28.9022 -5.58378 0.553102
-75.2 -15 -41.6297 -24.403 -4.9263 1.5178
-75 -15 -50.0736 -22.6744 -3.60068 0.522594
-74.8 -15 -58.5427 -22.1924 -2.16562 1.50563
-74.6 -15 -65.2327 -23.0515 -1.59604 2.00788
-74.4 -15 -71.2672 -30.9492 -0.162298 2.5435
-74.2 -15 -76.4608 -41.2763 -21.566 3.63067
-74 -15 -81.6838 -47.7256 -19.306 3.37047
-73.8 -15 -81.7746 -53.3565 -12.7164 2.98367
-73.6 -15 -79.2079 -57.9174 -16.7803 3.96896
-73.4 -15 -82.0655 -59.9096 -18.2402 4.10537
-73.2 -15 -88.4139 -62.6323 -14.9935 4.57237
-73 -15 -81.6684 -63.7444 -12.9131 4.9168
-72.8 -15 -76.2997 -65.2208 -14.1746 4.86763
-72.6 -15 -75.0811 -67.8193 -16.8566 4.7847
-72.4 -15 -75.311 -68.6066 -19.5385 4.97355
-72.2 -15 -73.7879 -69.4894 -21.8067 5.00567
-72 -15 -72.8871 -69.5791 -20.28 4.71583
-71.8 -15 -72.4458 -68.8733 -18.2524 4.68287
-71.6 -15 -72.0014 -68.1865 -16.2402 4.1595
-71.4 -15 -71.6583 -67.7703 -14.3157 4.40033
-71.2 -15 -71.6552 -67.4195 -15.6015 4.05599
-71 -15 -71.6716 -67.0475 -16.8901 4.33171
-70.8 -15 -71.6181 -66.4693 -15.8091 4.57606
-70.6 -15 -71.5554 -66.025 -12.3232 4.32625
-70.4 -15 -72.0884 -65.8357 -10.8085 3.87944
-70.2 -15 -72.6054 -65.6415 -14.3923 4.03379
-70 -15 -74.2768 -63.3358 -13.266 4.09417
-69.8 -15 -73.9992 -64.0231 -10.6772 3.86586
-69.6 -15 -76.3591 -64.1963 -12.8286 4.31206
-69.4 -15 -80.1199 -62.9025 -16.6175 4.42966
-69.2 -15 -83.3935 -60.8407 -15.0724 4.62174
-69 -15 -86.4306 -58.7871 -9.94407 5.13237
-68.8 -15 -89.7084 -55.3079 -11.2137 3.41857
-68.6 -15 -93.2428 -51.2902 -12.4851 1.54355
-68.4 -15 -97.0938 -47.4637 -12.3973 1.43459
-68.2 -15 -100.934 -43.4155 -12.0168 1.3262
-68 -15 -103.995 -40.513 -11.6367 1.31305
-67.8 -15 -106.064 -39.7883 -11.2441 0.347102
-67.6 -15 -107.92 -39.6517 -11.6998 0.722992
